date_mutation,valeur_fonciere,code_postal,section,type_local,surface_relle_bati,nombre_pieces_principales,surface_terrain
2015-06-22,100394.0,33000,IH,Appartement,36.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,39.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,60.0,3.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,2338.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-06-22,100394.0,33000,IH,Appartement,26.0,2.0,429.0
2015-09-24,88000.0,33000,IA,Appartement,24.0,1.0,
2016-03-15,157944.0,33000,PC,Appartement,39.0,2.0,
2016-04-22,205607.0,33000,PC,Appartement,57.0,3.0,
2016-04-22,300000.0,33000,DX,Maison,124.0,4.0,165.0
2016-06-29,310000.0,33000,DP,Appartement,100.0,3.0,
2016-07-28,140000.0,33000,DP,Appartement,48.0,2.0,
2017-06-23,183000.0,33000,MA,Appartement,48.0,2.0,
2017-07-10,425000.0,33000,PC,Maison,74.0,5.0,55.0
2017-07-28,1471400.0,33000,OY,Maison,200.0,6.0,482.0
2017-03-08,150000.0,33000,DP,Appartement,51.0,1.0,
2017-03-31,495000.0,33000,EU,Maison,82.0,5.0,194.0
2017-07-04,104000.0,33000,HI,Appartement,40.0,1.0,
2017-07-04,104000.0,33000,HI,Appartement,52.0,1.0,
2017-10-27,180000.0,33000,HL,Appartement,49.0,2.0,
2018-06-25,1635400.0,33000,OY,Maison,200.0,6.0,482.0
2018-07-02,323000.0,33000,LW,Maison,86.0,3.0,56.0
2018-07-30,323400.0,33000,OY,Maison,52.0,3.0,49.0
2018-10-29,240000.0,33000,KY,Appartement,36.0,1.0,51.0
2018-03-13,217000.0,33000,HL,Appartement,49.0,1.0,
2018-03-21,131500.0,33000,IA,Appartement,29.0,1.0,
2018-03-20,474900.0,33000,DP,Appartement,70.0,4.0,
2018-03-14,591500.0,33000,HA,Appartement,49.0,1.0,218.0
2018-03-14,591500.0,33000,HA,Appartement,90.0,3.0,218.0
2018-07-04,130000.0,33000,IA,Appartement,24.0,1.0,
2019-01-30,110000.0,33000,MA,Appartement,22.0,1.0,
2019-01-16,169000.0,33000,MA,Appartement,40.0,2.0,
2019-04-18,281880.0,33000,PC,Appartement,52.0,2.0,
2014-01-10,442500.0,33000,OX,Maison,96.0,4.0,166.0
2014-01-31,1105000.0,33000,KM,Appartement,190.0,3.0,
2014-06-30,643600.0,33000,LB,Maison,138.0,6.0,180.0
2014-07-03,111500.0,33000,PM,Appartement,45.0,2.0,
2014-09-18,106500.0,33000,PM,Appartement,45.0,2.0,
2014-02-07,140000.0,33000,DR,Appartement,45.0,2.0,
2014-02-28,1638994.0,33000,HM,Maison,385.0,10.0,767.0
2014-04-25,518950.0,33000,HL,Appartement,120.0,4.0,
2014-04-29,200087.0,33000,HE,Appartement,56.0,2.0,
2014-08-25,120000.0,33000,HL,Appartement,37.0,1.0,
2014-08-29,156500.0,33000,HL,Appartement,50.0,3.0,
2015-02-27,151000.0,33000,KX,Appartement,68.0,3.0,
2015-03-13,114000.0,33000,PM,Appartement,40.0,2.0,
2015-04-07,892900.0,33000,PO,Maison,235.0,5.0,128.0
2015-09-23,165000.0,33000,PM,Appartement,45.0,2.0,
2015-10-13,101000.0,33000,PM,Appartement,45.0,2.0,
2015-02-10,203400.0,33000,EW,Appartement,46.0,2.0,34.0
2015-07-09,140000.0,33000,EW,Appartement,44.0,3.0,
2015-08-04,110000.0,33000,HE,Appartement,33.0,1.0,
2016-11-21,900950.0,33000,PM,Appartement,150.0,4.0,
